link,page,post,shares,title
https://nycdatascience.com/blog/student-works/does-apples-fixed-iphone-release-schedule-hurt-its-customer-satisfaction/,1,"As a selfproclaimed techenthusiast I've been following the tech review community especially on YouTube for quite a while. During that time I recognized a certain pattern emerge after every new iPhone release: highly popular videos (as well as articles) would be released criticizing initial problems with the new iPhone.However Apple's sales numbers do not seem to be impacted by this negative atmosphere around its release date. This made me wonder who is most impacted by these videos and articles and whether or not they affect Apple's customer satisfaction. Should these reviews in fact impact Apple's customers a more loosely defined release schedule giving Apple more time to refine new features of the iPhone might increase Apple's customer satisfaction.I chose to scrape amazon.co.uk for several reasons. Firstly Europe besides China is arguably the . Thus customer reviews from the UK present relevant information for Apple. Secondly Amazon enabled me to not only gather information regarding the reviews themselves (Rating Title Text Helpful Votes) but also regarding the Amazon user that published the review. By clicking on the username I was able to collect information about each user such as the total number of helpful votes and reviews as well as all published reviews.In conducting my research I chose to exclusively focus on reviews for the iPhone X from November 2017 to September 2018 to only gather reviews for the newest iPhone at that point in time. Future research could apply the same concept to older iPhones.I used Selenium to scrape amazon.co.uk mainly because of its flexibility in navigating between different websites. After having scraped the data I prepared and cleaned the data mostly using Pandas NumPy and RE. This step included identifying and appropriately dealing with missing values adapting my code and reformatting the gathered data to enable further processing and analysis.Then I manipulated and analyzed the data breaking it down into subgroups and comparing their characteristics.Finally I visualized the results of my analysis with matplotlib seaborn and wordcloud.The first part of my analysis focused on the number of reviews per month from the iPhone's first reviews in November 2017 until September 2018. Against my initial expectations there were relatively little reviews around the time of the iPhone's release. Then around December 2017 the number of reviews started significantly increasing reaching its peak in March/April of 2018.My suspicion regarding the relatively low number of reviews around the release is that firstly the iPhone is released later in Europe than it is in the US possibly causing a delay in reviews. Furthermore customers in the UK might have waited to purchase the iPhone until Christmas which could explain the increase in December.Next I split the reviews into two categories: verified and unverified reviews. Generally verified reviews clearly outnumbered unverified reviews. However the only moment at which the number of unverified reviews exceeded the number of verified reviews was November 2017 directly after the iPhone's release. This finding fueled my suspicion that the generally negative atmosphere on the Internet at the time of the iPhone's release is not created by Apple customers but by people disliking Apple as a company.Furthermore this line plot shows that the previously identified increase in reviews is almost exclusively driven by verified reviews while unverified reviews decrease after November 2017 and never really increase again.Having proven that the substantial difference between the number of verified and unverified reviews I decided to dig deeper and compare the average rating of these two groups of reviews. The following box plot visualizes the result:This box plot shows that the two types of reviews not only tremendously differ when it comes to the number of reviews but also the average rating. While the average ratings for verified reviews are clustered between 4.50 and 4.75 with the 1st and 3rd quartile being extremely close to each other the average ratings of unverified reviews exhibit substantial variability. On top the median of unverified average ratings at approximately 3.50 provides further evidence for my suspicion that actual Apple customers are generally very satisfied with their iPhone's and not affected by negative reviews on the Internet.To confirm these findings I took a closer look at reviews published in November 2017 grouped by the type of review:While the relatively low number of reviews does not allow for very reliable conclusions there still is a visible difference between the verified and unverified ratings with the verified ratings generally being more favorable than the unverified ratings.In my next step I exclusively focused on the review texts of verified reviews and after preparing the data generated a word cloud that allows for a quick overview of the general sentiment among verified reviews:Again the majority of words in this word cloud are positive and express satisfaction with the iPhone X (""happy"" ""excellent"" ""best""). In addition the delivery seems to have been very important for customers which is not necessarily an insight for Apple but definitely for Amazon. Finding negative words in this word cloud requires either very good eyes or a magnifying glass. If you possess either you might be able to spot ""crashed"" or ""smashed"" however the size and rarity of negative words provide further evidence for the high satisfaction of actual Apple customers.At this point I was almost ready to wrap up my project and include a few more describing visualizations to prove my point. However after sampling some of the reviews I started having doubts as to how many reviews were published by people actually having purchased the product. Some reviews even verified reviews seemed very suspicious to me. In order to decrease the uncertainty introduced by not knowing which reviews are real I came up with something that I named the .To incorporate the Fake Review Index into my research I decided to go back to scraping and gathered not only reviews but also relevant information regarding each user. Then I used this information to calculate the Fake Review Index based on the following 6 factors:I calculated the Fake Review Index by assigning weights and categorizing several scenarios for each of these factors. For instance the highest score for the  factor is 10. One scenario for this factor would be the following: if the result of this calculation for a given user returns a number smaller than or equal to 1 ( the user received less than or equal to 1 helpful votes for all of his posts on average) the user's Fake Review Index gets increased by 10. Therefore  the Fake Review Index  it is that the review is genuine.While the Fake Review Index is not extremely sophisticated (yet) I am very confident it is able to at least identify the most obvious fake reviews and filter them out. To illustrate the Fake Review Index I included two scores of two different users that have published a review for the iPhone X:This user received a Fake Review Index of 74.5. As evident from his reviews he barely receives helpful votes and his reviews do not appear to be genuine whatsoever. Furthermore this user mainly uses 5star ratings and publishes several reviews for different products on the same day. Thus he receives a high Fake Review Index Score.The second user received a Fake Review Index of 27 making his reviews likely to be genuine. Indeed this profile seems to belong to an active member of the Amazon review community as his reviews actually detail his experience with the product do not only consist of 5star ratings and receive more helpful votes:Finally after grouping the reviews by their Fake Review Index I made an interesting observation: the more likely a review is genuine the lower the average rating. While the decrease is not extremely large it is still significant as the average rating for reviews that are very likely genuine is approximately 3.8. This rating is still very high and proves that Apple's customers are very satisfied nevertheless it is not as astronomically high as the previously discussed 4.5  4.75 average for verified reviews.In summary Apple's customer satisfaction is still very high. The negative atmosphere on the Internet at the time of the iPhone's release can mainly be attributed to noncustomers. Apple's customer satisfaction however is not as high as one might suspect at first glance when considering how genuine the reviews are. To answer my initial research question there does not seem to be an urgent need for Apple to implement a more loosely defined release schedule.Future extensions of this project would include a more refined and sophisticated fake review index that could then be universally applied to different review websites to enable companies to filter out the most relevant reviews and trends among their customers.",NA,Does Apple’s Fixed iPhone Release Schedule Hurt Its Customer Satisfaction?
https://nycdatascience.com/blog/student-works/variation-in-hospital-charges-and-medicare-payments-for-inpatient-procedures-in-the-united-states/,1,U.S. healthcare costs have been on the rise over the past several years outpacing the growth of the economy overall. The Centers for Medicare and Medicaid Services (CMS) estimates that American healthcare spending increased by 4.6% in 2017 to reach $3.5 trillion. The increases in medical care are  driven by the Medicaid expansion the private insurance market as well as the aging population. Consequently h,NA,Variation in Hospital Charges and Medicare Payments for Inpatient Procedures in the United States
https://nycdatascience.com/blog/student-works/housing-price-prediction-using-advanced-regression-analysis/,1,Intuitively which of the four houses in the picture do you think is the most expensive?Most people will say the blue one on the right because it is the biggest and the newest. However you might have a different answer after reading this blog post and discover a more precise approach to predicting prices. In this blog post we discuss how we use machine learning techniques to predict house prices.  The dataset can be found on. The dataset is divided into the training and test datasets. In total there are about 2600 rows and 79 columns which contain descriptive information on different houses (e.g. number of bedrooms square feet of the first floor etc.). The training dataset contains the actual house prices while the test dataset doesn’t. The house prices are rightskewed with a mean and a median around $200000. Most houses are in the range of 100k to 250k; the high end is around 550k to 750k with a sparse distribution.Most of the variables in the dataset (51 out of 79) are categorical.  They include things like the neighborhood of the house the overall quality the house style etc. The most predictive variables for the sale price are the quality variables. For example the overall quality turns out to be the strongest predictor for the sale price. Quality on particular aspect of the house like the pool quality the garage quality and the basement quality also show high correlation with the sale price.The numeric variables in the dataset are mostly the area of the house including the firstfloor area pool area number of bedrooms garage area etc. Most of the variables show a correlation with the sale price.One challenge of this dataset is the missing data. For missing data such as pool quality and pool area  where a missing value means there is no pool in this house  we replace the missing value with 0 for numeric variables and “None” for categorical variables. However for missing data that are missing at random we use other variables to impute the value. Dealing with a large number of dirty features is always a challenge. This section focuses on the feature engineering (creating and dropping variables) and feature transformation (dummifying variables removing skewness etc.) tasks. GarageYrBlt (year the garage was built) and YrBlt (year the house was built) had a very strong positive correlation of 0.83. In fact more than 75.8% of these values were exactly the same. Hence we decided to drop GarageYrBlt since it had many missing values which could be compensated by YrBlt.Because we have to work with so many variables we introduced the use of regularization techniques to address the issue of multicollinearity found in our correlation matrix and the possibility of overfitting using the multiple linear regression model. We address that in the exploratory data analysis section. The great thing about regularization is that it reduces the model complexity as it automatically does the feature selection for you. All the regularization models penalize for extra features.Regularization models include (Lasso Ridge and Elastic Net). The lasso model will set coefficients to zero while the ridge model will minimize the coefficients making some of them very close to zero. Elastic net is a hybrid of both the lasso and ridge model. It groups correlated variables together and if one of the variables in the group is a strong predictor then it will include the entire group into the model. The next step is to tune the hyperparameters of each model through the use of crossvalidation. We choose alpha  .0005 for the Lasso model and alpha  2.8 for the Ridge model. We choose alpha  .0005 and L1_Ratio  0.9 for Elastic Net. Because Elastic Net with a L1_Ratio of 0.9 is very similar to the Lasso model which has a default L1_Ratio of 1 we do not depict it here.Positive coefficients for Sale Price: Above Grade Living Area Overall Condition and the Neighborhoods (Stone Bridge North Ridge and Crawford).Negative coefficients for Sale Price: MS Zoning Neighborhood Edwards and Above Ground Kitchen.Positive coefficients for Sale Price: General Living Area Roofing Material (Wood Shingle) Overall Condition.Negative coefficients for Sale Price: The General Zoning requirements Proximity to Main Road or Railroad and the Pool Quality being in Good condition.The two graphs below show how accurate our model prediction is for the sales price vs the actual price. Dots closer to or on the red line show how accurate the model prediction was. There are some outliers that we should investigate as future work on the model. Gradient Boosting Regressor was one of our best performing algorithms. We first trained gradient boosting machine using the entire set of features (baseline model). We performed crossvalidation with parameter tuning using GridSearchCV function from scikitlearn package for Python. Our best model parameters were: learning rate of 0.05 2000 estimators and max depth of 3.  We created a relative importance chart to visualize feature importance in gradient boosting. Feature importance scores indicate how useful each feature is in the construction of the boosted decision tree. Above Grade Living Area Square Feet Kitchen Quality Total Square Feet of Basement Area and Size of Garage in Car Capacity were among most valuable features.  We then attempted to improve our baseline model performance by reducing the feature dimensionality. High dimensional data can be sparse or spread out which makes it harder for certain algorithms to train effective models. In general predictive algorithms benefit from optimal nonredundant subset of features that improve the rate of training as well as enhance interpretability and generalization. We managed our machine learning workflows with scikitlearn Pipelines. Scikitlearn Pipeline class allows us to apply a series of data transformations followed by the application of an estimator. We built several pipelines each with different estimator (e.g. Gradient Boosting Regressor Linear Regression etc.) For Gradient Boosting Machine our pipeline included:After we completed feature engineering we had over 200 features and about 1500 rows in our training set. We decided to keep 150 principal components after examining cumulative percentage of variance chart. 150 components accounted for over 85% of variance of our data. Variance measures how spread out the dataset is. Not all tweaks improve results. After we implemented PCA our cross validation scores did not improve. In fact our scores deteriorated (cross validation score declined to 0.87 from 0.91 for baseline model). We believe that reducing dimensions caused loss of some important information. PCA not only removed random noise in our data but also some valuable inputs. For Multivariate Linear Regression our pipeline included:Using PCA with Multivariate Linear Regression did not produce good results as well. Our cross validation score decreased as compared to a baseline model (training Multivariate Linear Regression using the entire set of features).  Using single isolated models gives us a decent result. But usually all real life problems do not have a direct linear or nonlinear relationship with the target variable that can be captured alone by a single model. An ensemble of conservative and aggressive linear and nonlinear models best describes the housing price prediction problem. To begin with we tried a simple ensemble model of XGBoost (nonlinear) and ENet (linear) with a 5050 weightage. Next following the standard stacking approach we stacked different models to see if we could do better. Our stacked model consisted of the linear ENet model a conservative random forest of short depth a fullygrown aggressive random forest a conservative gradient boosting of short depth and finally a fullygrown aggressive gradient boosting model. The performance has been recorded below:The below correlation heatmap shows our predicted sale prices for some of the models used. We can see that Elastic Net Lasso and Ridge were very similar in nature whilst Ensembling and Stacking was also very similar. The one standalone model with distinctly different results was the XGBoost one.,NA,Predicting House Prices with Machine Learning Algorithms
https://nycdatascience.com/blog/community/hiring-partner-event-at-nyc-data-science-academy-september-26th-2018/,1,On September 26th our bootcamp graduates had the opportunity to have a glimpse into their future. Over 50 HR and hiring managers from various companies engaged in conversation with them regarding career opportunities in the data science field at our Hiring Partner Event. Through our bootcamp students have the opportunity to work on realworld data science projects for companies like the ones present at this event. From small startups to large corporations there was no limit to the diversity of companies present. Officials from Spotify American Express VICE Media Morgan Stanley Spectrum and many more attended this occasion.Some of the hiring partners also happened to be alumni seeking grads to join their teams. These alumni include Michael Goldman (Digitas) Chao Shi (National Grid) Kweku Ulzen (Nielsen) Sam Marks (VICE Media) Andrew Dodd (Well Woven) and Nelson Chen (Work Fusion). It was great seeing alumni coming back helping out their fellow grads!Are you interested in participating in our future hiring events or recruiting NYC Data Science Academy graduates? Contact us at.,NA,"Hiring Partner Event at NYC Data Science Academy, September 26th 2018"
https://nycdatascience.com/blog/student-works/will-the-nba-players-salary-contribute-to-the-teams-win/,1,"Which team will win the championship this season? Who will win the MVP?   Many sports stars surprise people with huge amounts of contracts.
However So are their salaries contributing to the team's victory?
My topic is to learn about the relationship between NBA games (WL) and salary using Web Scrap.  
Modern basketball is evolving right now.  Because of the unique nature of basketball we can not simply say that the salary contributes to the team win.  There are also many invisible indicators such as mental and leadership for victory. It is difficult to relate salary and victory but I think it is also fun to watch sports.",NA,Will the NBA Player's salary contribute to the team’s Win?
https://nycdatascience.com/blog/student-works/residential-property-investment-visualization-and-analysis-shiny-app/,1,"The purpose of this Shiny web app is to better advise clients in residential property investments in New York City by visualizing sales and rental market trends in major areas.Check out the app  and find the code .Sales and rental data are compiled from . The dataset used in this web app is combined using: Borough Neighborhood Date Condo Listing Median Price Condo Sale Median Price Rental Studio Median Price Rental One Bedroom Median Price Rental Two Bedroom Median Price Rental Three+ Bedroom Median PriceBoroughs in consideration are Manhattan Brooklyn Queens.The date of the data point ranges from Jan 2014 to Aug 2018 aggregated monthly.Boundary data of the neighborhoods are acquired from .Start by clicking on the ""Visualization"" tab on the side menu to go to the visualization page. Beware that it takes a little time to load so don't be startled by the error messages. Voilà!First choose a borough and neighborhood from the right side of the page.Then you will see that the neighborhood you selected will be highlighted on the map at the top of the page.On the bottom left there will be a brief summary of the market trend of property sales in your chosen neighborhood whether it has been increasing or decreasing. And it will provide a rough estimate of the percentage change in property value and value prediction for 2019 and 2023 (5 years). You can also opt to see an interactive chart of Listing and Sale price over the years.On the bottom right there is a chart showing the rental prices for different properties types whether it is a Studio One Bedroom or even Three+ Bedroom.You will notice a slider and selector below the location selectors it is used to set a budget and a room count so that the tool will calculate a rough estimate of your mortgage payment given 20% down payment  30year term and an annual rate of 5.04%.",NA,Residential Property Investment Visualization and Analysis Shiny App
https://nycdatascience.com/blog/student-works/which-industry-to-work-for/,1,"There are many factors that are important when choosing an industry to work in. Career growth opportunities worklife balance salary packages working hours and job security to name a few. But in any case It’s important to consider jobs that are indemand and recessionproof.Starting your career in growing industries will make it easier to find gainful employment build a valuable skillset and help you climb up that career ladder.In my work I tried to find most growing industries by analyzing PR News.What is PR(public relations) and PR News? According to the Public Relations Society of America (PRSA) PR is ""Public relations is a strategic communication process that builds mutually beneficial relationships between organizations and their publics.""The aim of public relations is to inform the public prospective customers investors partners employees and other stakeholders and ultimately persuade them to maintain a positive or favorable view about the company organization or its leadership. The most used tools in this field is news release. And That is called “PR News”.Growing industries creates more PR News than dying industries. So If I can count the number of PR News for various industries over the same time period I can find fast growing industries. And arguably that's the industry to work for.I chose  to achieve my goal since it covers an extensive numbers of industries and all the news in it is very well categorized.My scrapy spider crawled like as follows 1. collect name and recent news url in 3rd level(which is lowest level) of industry category2. for each collected industry go the the recent news list and get news title and release date.3. follow the previous news link and get the news title and release date until there is no news left.4. jump to next industry category and do the same.and results are as follows.This was my first and most import question. If not my entire scraping would be meaningless.And simple news count against industries plot showssignificant differences between industries.In top industries are Computer softwares Medical pharmaceutical Aerospace & Defenseand in the bottomThere are public safety Office products and Supermarkets.Result looks reasonable. Thus I can proceed to next analysis.To find best industry to work for I needed to find industries with upward trend of news count in time series. To get the time series data for each industries I had to unstack and resample the data.and simple plot of news count against date (example is blockchain industry) showsAt a glance I could not see any trend But there was periodic zero news count.  So I had looked into data and found thatObviously News is not released in weekend. After removing weekendsand trying different samplingI could clearly see that There is a trend. To get the trend for each all industries I used polyfit function from numpy.thrend_line function takes time series data frame as an argument and returns slope. If slope is greater than 0 then the time series data have an upward trend. After applying trend_line function to all industries I could plot trend against industries.Again I could see top industries (which means industry with most upward trend) and bottom industries. But What I really needed to see is industries which have relatively high news count and relatively high trend at the same time.To see the whole picture I merged dataframes for my question 1 and 2 and plotted it in 3d area.and it shows...If you watch 3d plot in realtime you can clearly distinguish that those 2 dots have high PR Count and High Trend.Those 2 dots are as follows.Those are the best industries to work for. It's very interesting that data analytics is the winner.I could find best industry based on my simple theory. But how credible is the result? I can not say ""highly"" because I could get data only just after april this year. For some reason PR News sites does not keep their news for a long time. So To accomplish analysis based on precise long term data Daily batch crawler preferably with database storage is needed.And from this project I could get 95459 rows of data which consists of category title and url for contents. Hopefully These data will be useful for my machine learning NLP study. Thank you for taking the time to read about my project!",NA,Which industry to work for?
https://nycdatascience.com/blog/student-works/spilling-the-beans-on-trade-coffee/,1, curated collection of seasonal freshly roastedtoorder coffees. I was curious what this new homedelivery service had to offer me and thought perhaps I could further investigate.470 products down to 452.An NLP analysis on the product descriptions and flavor profiles gave a picture on what products one might find on Trade Coffee. the NLTK package was used to process the words from all the product descriptions and flavor profiles. In order to get an informative word cloud I added words such as 'coffee' 'flavor' 'taste' 'varietal' into the dictionary of stop words that remove redundant and noninformative words from the description content.,NA,Spilling the Beans on Trade Coffee
https://nycdatascience.com/blog/student-works/which-new-yorkers-are-not-licensing-their-dogs/,1,The same information of the previous two maps can also be presented in a histogram where each bar is the frequency of dogs for each zip code colored by borough and the dark points represent the number of dogs per capita (100K people).,NA,Which New Yorkers are not licensing their dogs?
https://nycdatascience.com/blog/student-works/capstone/restaurant-recommendation-app/,2,"Modern consumers are overwhelmed with dining choices. With all the information and services available at a consumer’s fingertips it takes a lot for restaurants to stand out. Recommendation systems offer an effective way for lesserknown restaurants to come to the attention of consumers. Such systems allow consumers to explore the abundance of choices at hand while still catering to their particular interests. As a result they can enhance a consumer’s satisfaction and loyalty. Considering this we wanted to explore the two broad groups of recommendation systems: contentbased and collaborative filtering methods. Contentbased systems use the attributes of items and users to recommend items similar to those liked by the users in the past. In contrast collaborative filtering systems recommend items that were liked by people who were identified as having similar tastes as the user. We have also combined both approaches into a hybrid recommendation system using restaurant attributes and the users’ review history.Additionally we have developed an evaluation system for the userbased recommendation systems in order to be able compare them and choose the best approach. The chosen recommendation system was implemented in our app “OkFoodie!” that is now online to provide indecisive customers recommendations for two within the city of Las Vegas.For this project our team wanted to explore data provided by Yelp to create a recommendation system for two people with different tastes. The only task more difficult than one person picking a place to go to dinner is when two people need to choose a restaurant.The  is a subset of Yelp’s businesses reviews and user data from several cities. The data consists of:We chose to focus on Las Vegas because it had a large proportion of the businesses in the dataset with over 4000 restaurants.Our exploratory data analysis started with a thorough understanding of the Yelp users. The average rating given for businesses is 3.8 stars. Out of all the reviewers only 20% are writing the majority of the reviews most reviewers write fewer than 5 reviews.The Yelp Elite status is a way for the site to recognize users who are active in the Yelp community. Eliteworthiness is based on wellwritten reviews and high quality tips. Our team felt the reviews from Yelp Elite users should receive more weight when creating a recommendation system.The general process for the app as shown in the diagram below requires two users to interact with the app by providing their location and each person’s restaurant preferences from the local restaurant list. The model utilizes the reviews written for each restaurant and runs the text through a natural language processing (NLP) model to find the most similar restaurants based on their reviews. Next the similar restaurants are filtered based on location and other criteria taken from the businesses’ information contained in the dataset. Those recommendations are then ranked and finally returned back to the user within the app along with their locations displayed on a map. When you think about Yelp users you probably think of the users who write the reviews. However according a phenomenon in social media known as the 90/9/1 Rule the users that write reviews are only a small percentage of the overall population using Yelp. According to this rule only 1 percent of users will actively create content. Another 9 percent are users that observe and occasionally contribute. The other 90 percent observe without responding. In other words most people on Yelp don’t write reviews; they merely read them. Those Yelp lurkers represent the majority of the prospective users for our app.The first approach we chose was to offer recommendations to these users using a contentbased recommendation system. This approach uses a series of discrete characteristics of an item liked by the user in order to recommend additional items with similar properties. In our case each user would choose a restaurant that they like to form the basis of the recommendation. Examining the text of the reviews of the two selected restaurants would bring to light details that we would use to find other restaurants with similar characteristics.A precedent for this contentbased approach can be found in . The music site uses the properties of a song or artist to create a ""station"" that plays music with similar properties. The approach we followed to rank the restaurants for our recommendation system was to find restaurants with similar reviews to the chosen restaurants. In order to be able to compare the similarity between the reviews we have to follow the following steps: preprocessing vectorization and document similarity. The preprocessing of the text mainly includes:Once the text is preprocessed we vectorized the text (or make a numerical representation of it) by using word embeddings. The types of word embeddings can be classified into two categories: (1) frequencybased embeddings and (2) predictionbased embeddings.Finally once we have our vectorized text for each review we measure the document similarities by calculating the cosine similarity between the reviews of the business “liked” by our users and the reviews of all the other restaurants. When calculating cosine similarity the dimensions are the terms or words. The similarity depends on the orientation of the vectors. Two similar vectors with the same orientation would have a cosine similarity of 1 and two vectors oriented 90degrees to each other would have a cosine similarity of 0. Using the cosine similarity between the reviews the corresponding restaurants are ranked in descending order.For our recommendation system we have generated the TFIDF vectors and also generated a more sophisticated text document vector by multiplying the matrix of TFIDF weights by a cooccurrence matrix to obtain a TFIDF weighted sum of embedding vectors. In the resulting matrix the number of rows corresponds to the number of documents and the number of columns corresponds to the number of terms which were the top 300 words in each review. In order to be able to use these vectors as inputs in our collaborative filtering model we decided to reduce dimensionality. With PCA (Principal Component Analysis) we reduced it to 8 dimensions. We further used tSNE (Tdistributed Stochastic Neighbor Embedding) to project the vectors in 2D obtaining this graph in which each document is a dot. Orange represents good reviews and blue represents the bad reviews. Even though there is one large cluster we can see how the bad reviews are mostly located in the upper part of the cluster. These vectors were further used to feed into our collaborative filtering model along with the vectors generated by the Doc2Vec model.Another approach we used for analyzing the Yelp reviews in order to recommend restaurants was with a neural networkbased algorithm called Doc2Vec. This method allows us to compare the reviews based on context as well as the word representations.Doc2Vec an unsupervised NLP model generates vectors for a larger piece of text such as a paragraph or document independent of the text’s length. It is based on the Word2Vec algorithm that defines a vector representation for each word in the document based on its neighboring words to infer additional relationships between them such as antonyms or analogies. These word vectors are then combined with a paragraph or document vector that represents the overall contextual meaning of the document. Besides comparing the words contained within each review which may give information about menu items cuisine and service quality one advantage of the document vectors is that they can help infer other useful information about each restaurant such as its uniqueness reputation or customer base leading to more insightful recommendations for the two users.The process for comparing the Yelp restaurant reviews using the GenSim Doc2Vec module is fairly straightforward. All reviews are preprocessed to tokenize the text and punctuation is removed. Each review is tagged with its ID before training with the Doc2Vec model where 200dimension vectors are constructed for each review. Once they are trained we are able to use the vectors from the set of reviews for each restaurant to find similarities between the two original choices and the remaining restaurants in the chosen area. Using the median cosine similarities to remove any unusual reviews or outliers we can then rank the restaurants and provide personalized recommendations for the users. The paragraph vectors are also used in the collaborative filtering model as discussed in the following section.Matrix factorization is a class of collaborative filtering algorithms used in recommender systems. Matrix factorization techniques are much more effective than user and itembased systems because it uncovers the latent (hidden) features and underlying interactions which describe the relationships between users and items. In mathematics factorization or factoring consists of writing a number or another mathematical object as a product of several factors usually smaller or simpler objects of the same type. Matrix factorization algorithms work the same way by decomposing the useritem interaction matrix into the products of matrices with lower dimensionality. Let R be the matrix of size U (Users) x I (ItemsRestaurants) that contains all the ratings that the users have assigned to the items. Now the latent features would be discovered. Our task then is to find two matrices P (U – Users x К – Latent Features) and Q (I – Items x К – Latent Features) such that their product approximately equals R given by:R ≈ P x QT  ȒOur team used the Graphlab library in Python to build a model where you can feed various features pertaining to the users and items. The Factorization recommender for this library trains a model capable of predicting a score for each possible combination of users and items. The internal coefficients of the model are learned from the known score of users and items. The dataset used for training the model must contain a column of user IDs and a column of item IDs. Each row represents an observed interaction between the user and item. The user and item pairs are stored with the model so that they can later be excluded from recommendations if desired. It can optionally contain a target ratings column. All other columns included are considered side features.The GraphLab factorization model was fed a user table item (restaurant) table and review table. User and items are represented by weights and factors.Our team extracted features such as Elite users user with friends and users that provided at least 5 ratings from the Yelp dataset. The restaurant table included features such as kidfriendly restaurant atmosphere alcohol intimate touristy friendly and about 10 other features that our team felt were relevant to restaurant attributes. The review table included NLP vectors created from Doc2Vec and TFIDF for each review.The factor terms model interactions between users and items. For example if a user tends to love Mexican food and hate Italian food the factor terms attempt to capture these features along with items (restaurants) that are similar to the items that this user likes.The Factorization Machine recommender model approximates target rating values as a weighted combination of user and item latent factors biases side features and their pairwise combinations. The recommender targets rating values by utilizing stochastic gradient descent and alternating least square (ALS). The categorical features were turned into dummy variables and when fed into the model the matrix factorization predicts the user ratings (scores).When utilizing this recommender system for 2 our team generates a list of recommendations for each user with a score and rank. The two lists are then merged on the business ID and the users ranks are summed. The lower the score the stronger the recommendation for that particular user; rank 1 would be the best recommendation. The restaurant with the lowest sum (highest rank) is the restaurant recommended to both users.When implementing our exploratory data analysis and NLP vectors the results shown below demonstrate that adding more information (particularly the weight of the review through NLP) substantially improves the model’s ability to predict user ratings.As we collect more user and restaurant information the model will improve its ability to predict ratings and improve its recommendation capabilities.While the performance of our collaborative filtering models allows for a direct evaluation metric (e.g. RMSE) recommendations based on unsupervised models lack an immediate approach to evaluation. Nonetheless we sought out to identify a way to measure the success of our recommendations for unknown users. Our approach relies on the idea that despite lacking information for such users the selected restaurant(s) allows us to match them with existing users in the Yelp dataset. By matching a new and existing user based on the former’s input to our app we can develop a measure of how likely unknown users are to like the recommendations despite them resulting from unsupervised machine learning models.Our general approach is summarized as follows: Imagine two users who are unknown to Yelp supplying two restaurant choices to our app. At this point all we know about these users is that one user (e.g. User A) likes their choice (e.g. Restaurant 1) and the other user (e.g. User B) likes their choice (e.g. Restaurant 2). Despite lacking additional information about these individuals our project uses these choices to produce a recommendation set for these users. We evaluate the quality of our recommendation set by assuming the preferences of these unknown users can be approximated by existing Yelp users who have registered that like Restaurants A and B.Implementing this idea requires several steps. First we must deal with the sparsity of the existing ratings matrix. As most Yelp users only review a small number of restaurants we use collaborative filtering to predict users’ unknown ratings. Second we must also match new and existing users. As any two given Yelp users may rate restaurants very differently on average we initially demean the ratings matrix at the userlevel. The demeaned ratings are then used to identify the set of users that “really like” (or would really like) Restaurant A and also the set of users that really like Restaurant B. The set of existing users that are matched to the unknown user that selected Restaurant A are those for which this restaurant is among the top 600 restaurants in the ratings matrix. With approximately 3000 restaurants in our main sample this threshold corresponds to approximately a user’s top 20% of restaurants.The ratings of these comparison groups can then be used to approximate the probability that the two unknown users would like the restaurants our app recommends. For any given input from our app which is a pair of restaurants this probability can be estimated by simply computing the probability that the comparison groups would like the set of recommendations produced by the app. In general any given unsupervised approach can then be evaluated by developing a random sample of restaurant pairs and then computing the average probability that the unknown users would like their recommendation set. The probability that our top recommendations would be liked by the users is quite high: ~90%. However we did find that this probability can be influenced considerably by which thresholds are used. For example we found much lower success rates when we computed the probability that a recommendation set of the top 100 restaurants would be liked on average when the comparison group of users were only considered to have liked the restaurant if it were in the top 200 (of ~3000) restaurants. This point illustrates that while the collaborative filtering results can help us gauge the performance of our unsupervised recommendations additional work should be done to determine the optimal parameter choices.The app we nicknamed “” currently utilizes the Doc2Vec NLP model within the Flask interactive framework to provide recommendations for restaurants in Las Vegas. Users can allow the webbased app use their current location or they may enter their zip code so it can provide recommendations within 5 miles of the given location. The two users then enter their preferred restaurants hit Submit and the model returns a list of 5 restaurants based on similarities to both of the users’ original restaurant preferences. While we are able to provide restaurant recommendations based on similarities inferred from the Yelp reviews as well as with preferences assumed for the two users we know that there are many more steps to be taken to enhance the algorithm recommendation quality and user experience. Moving forward we expect that the model would be refined further to incorporate larger samples of the Yelp dataset and possibly the reviewers’ tips that are also available for each restaurant in order to improve accuracy and personalization. We could also begin adding other cities available from the Yelp challenge dataset at which point we also intend to scaleup the model for processing with Spark.Future versions may also include the option for existing Yelp users to log into the site so we may use their profiles to provide more personalized recommendations through the collaborative filtering model. User selections can also help optimize the model performance. Ultimately we anticipate this would be available as a mobile app allowing users to find restaurants when traveling based on restaurants they’ve liked in other locations around the globe.",NA,Recommendation App & Restaurant Decision Tool for Two
