Topic,Topic.1,Topic.2,Topic.3,Topic.4,Topic.5,Topic.6,Topic.7,Topic.8,Topic.9
0.15764,5e-4,0.0613,0.47314,0.30491,5e-4,5e-4,5e-4,5e-4,5e-4
3.4e-4,3.4e-4,0.20945,0.78785,3.4e-4,3.4e-4,3.4e-4,3.4e-4,3.4e-4,3.4e-4
5.4e-4,5.4e-4,0.99516,5.4e-4,5.4e-4,5.4e-4,5.4e-4,5.4e-4,5.4e-4,5.4e-4
5.1e-4,5.1e-4,0.9476,0.04836,5.1e-4,5.1e-4,5.1e-4,5.1e-4,5.1e-4,5.1e-4
0.10909,0.46009,0.05627,0.10783,2.8e-4,2.8e-4,2.8e-4,2.8e-4,0.26533,2.8e-4
5.6e-4,5.6e-4,0.1238,0.19764,5.6e-4,5.6e-4,5.6e-4,5.6e-4,0.67465,5.6e-4
3e-4,3e-4,3e-4,3e-4,0.99728000000000006,3e-4,3e-4,3e-4,3e-4,3e-4
0.13119,5.7e-4,0.69693,5.7e-4,5.7e-4,5.7e-4,0.16793,5.7e-4,5.7e-4,5.7e-4
0.08286,0.05459,0.72289,4e-4,0.02977,4e-4,0.10789,4e-4,4e-4,4e-4
4.1e-4,4e-4,0.99636,4e-4,4e-4,4e-4,4e-4,4e-4,4e-4,4.1e-4
1e-4,1e-4,1e-4,1e-4,1e-4,0.08938,1e-4,1e-4,0.01795,0.89197
3e-4,3e-4,0.01283,3e-4,3e-4,3e-4,0.98475,3e-4,3e-4,3e-4
0.03074,1.9e-4,1.9e-4,1.9e-4,1.9e-4,1.9e-4,1.9e-4,1.9e-4,1.9e-4,0.9677
4.3e-4,4.3e-4,0.44194,0.18379,4.3e-4,4.3e-4,0.37123,4.3e-4,4.3e-4,4.3e-4
1.3e-4,1.3e-4,0.06857,1.3e-4,0.05936,1.3e-4,0.05045,1.3e-4,1.3e-4,0.82086
4.9e-4,4.9e-4,0.40166,4.9e-4,4.9e-4,4.9e-4,0.1585,4.9e-4,0.43644,4.9e-4
5.3e-4,5.3e-4,5.3e-4,0.16427,5.3e-4,5.3e-4,0.41537,5.3e-4,0.27633,0.14084
0.07012,0.7364,2.3e-4,0.1919,2.3e-4,2.3e-4,2.3e-4,2.3e-4,2.3e-4,2.3e-4
2.8e-4,2.8e-4,2.8e-4,0.45501,2.8e-4,2.8e-4,0.52051,2.8e-4,2.8e-4,0.02249
0.02968,3.7e-4,0.22475,0.66679,3.7e-4,3.7e-4,3.7e-4,3.7e-4,0.07656,3.7e-4
1.1e-4,0.0689,1.1e-4,1.1e-4,1.1e-4,1.1e-4,1.1e-4,0.00678,0.82711,0.09657
0.19713,4.3e-4,4.3e-4,4.3e-4,4.3e-4,4.3e-4,4.3e-4,4.3e-4,0.79942,4.3e-4
3.4e-4,3.4e-4,3.4e-4,0.9969,3.4e-4,3.4e-4,3.5e-4,3.4e-4,3.4e-4,3.4e-4
0.01112,0.01111,0.01111,0.01111,0.89998,0.01111,0.01111,0.01111,0.01111,0.01111
5.8e-4,0.07369,5.8e-4,5.8e-4,5.8e-4,5.8e-4,0.05621,5.8e-4,0.86606,5.8e-4
4.7e-4,4.7e-4,0.65317,0.33162,4.7e-4,4.7e-4,4.7e-4,4.7e-4,4.7e-4,0.0119
5.8e-4,5.8e-4,0.372,0.5813,5.8e-4,5.8e-4,5.8e-4,5.8e-4,5.8e-4,0.04261
2e-4,0.55263,2e-4,2e-4,2e-4,2e-4,2e-4,0.07165,0.37434,2e-4
0.00143,0.22671,0.73342,0.00143,0.02986,0.00143,0.00143,0.00143,0.00143,0.00143
0.04332,1.7e-4,1.7e-4,1.7e-4,1.7e-4,1.7e-4,1.7e-4,1.7e-4,1.7e-4,0.95532
2.5e-4,2.5e-4,0.03599,0.94279,2.5e-4,2.5e-4,0.01945,2.5e-4,2.5e-4,2.5e-4
0.38307,6.5e-4,6.5e-4,0.61173,6.5e-4,6.5e-4,6.5e-4,6.5e-4,6.5e-4,6.5e-4
0.12097,4.3e-4,4.3e-4,4.3e-4,0.83875,4.3e-4,0.03729,4.3e-4,4.3e-4,4.3e-4
0.53414,6e-4,6e-4,0.20408,6e-4,6e-4,6e-4,6e-4,0.25761,6e-4
