title,page,link,post.x,shares.x,post.y,shares.y
Predicting House Prices with Machine Learning Algorithms,1,https://nycdatascience.com/blog/student-works/housing-price-prediction-using-advanced-regression-analysis/,Intuitively which of the four houses in the picture do you think is the most expensive?Most people will say the blue one on the right because it is the biggest and the newest. However you might have a different answer after reading this blog post and discover a more precise approach to predicting prices. In this blog post we discuss how we use machine learning techniques to predict house prices.  The dataset can be found on. The dataset is divided into the training and test datasets. In total there are about 2600 rows and 79 columns which contain descriptive information on different houses (e.g. number of bedrooms square feet of the first floor etc.). The training dataset contains the actual house prices while the test dataset doesn’t. The house prices are rightskewed with a mean and a median around $200000. Most houses are in the range of 100k to 250k; the high end is around 550k to 750k with a sparse distribution.Most of the variables in the dataset (51 out of 79) are categorical.  They include things like the neighborhood of the house the overall quality the house style etc. The most predictive variables for the sale price are the quality variables. For example the overall quality turns out to be the strongest predictor for the sale price. Quality on particular aspect of the house like the pool quality the garage quality and the basement quality also show high correlation with the sale price.The numeric variables in the dataset are mostly the area of the house including the firstfloor area pool area number of bedrooms garage area etc. Most of the variables show a correlation with the sale price.One challenge of this dataset is the missing data. For missing data such as pool quality and pool area  where a missing value means there is no pool in this house  we replace the missing value with 0 for numeric variables and “None” for categorical variables. However for missing data that are missing at random we use other variables to impute the value. Dealing with a large number of dirty features is always a challenge. This section focuses on the feature engineering (creating and dropping variables) and feature transformation (dummifying variables removing skewness etc.) tasks. GarageYrBlt (year the garage was built) and YrBlt (year the house was built) had a very strong positive correlation of 0.83. In fact more than 75.8% of these values were exactly the same. Hence we decided to drop GarageYrBlt since it had many missing values which could be compensated by YrBlt.Because we have to work with so many variables we introduced the use of regularization techniques to address the issue of multicollinearity found in our correlation matrix and the possibility of overfitting using the multiple linear regression model. We address that in the exploratory data analysis section. The great thing about regularization is that it reduces the model complexity as it automatically does the feature selection for you. All the regularization models penalize for extra features.Regularization models include (Lasso Ridge and Elastic Net). The lasso model will set coefficients to zero while the ridge model will minimize the coefficients making some of them very close to zero. Elastic net is a hybrid of both the lasso and ridge model. It groups correlated variables together and if one of the variables in the group is a strong predictor then it will include the entire group into the model. The next step is to tune the hyperparameters of each model through the use of crossvalidation. We choose alpha  .0005 for the Lasso model and alpha  2.8 for the Ridge model. We choose alpha  .0005 and L1_Ratio  0.9 for Elastic Net. Because Elastic Net with a L1_Ratio of 0.9 is very similar to the Lasso model which has a default L1_Ratio of 1 we do not depict it here.Positive coefficients for Sale Price: Above Grade Living Area Overall Condition and the Neighborhoods (Stone Bridge North Ridge and Crawford).Negative coefficients for Sale Price: MS Zoning Neighborhood Edwards and Above Ground Kitchen.Positive coefficients for Sale Price: General Living Area Roofing Material (Wood Shingle) Overall Condition.Negative coefficients for Sale Price: The General Zoning requirements Proximity to Main Road or Railroad and the Pool Quality being in Good condition.The two graphs below show how accurate our model prediction is for the sales price vs the actual price. Dots closer to or on the red line show how accurate the model prediction was. There are some outliers that we should investigate as future work on the model. Gradient Boosting Regressor was one of our best performing algorithms. We first trained gradient boosting machine using the entire set of features (baseline model). We performed crossvalidation with parameter tuning using GridSearchCV function from scikitlearn package for Python. Our best model parameters were: learning rate of 0.05 2000 estimators and max depth of 3.  We created a relative importance chart to visualize feature importance in gradient boosting. Feature importance scores indicate how useful each feature is in the construction of the boosted decision tree. Above Grade Living Area Square Feet Kitchen Quality Total Square Feet of Basement Area and Size of Garage in Car Capacity were among most valuable features.  We then attempted to improve our baseline model performance by reducing the feature dimensionality. High dimensional data can be sparse or spread out which makes it harder for certain algorithms to train effective models. In general predictive algorithms benefit from optimal nonredundant subset of features that improve the rate of training as well as enhance interpretability and generalization. We managed our machine learning workflows with scikitlearn Pipelines. Scikitlearn Pipeline class allows us to apply a series of data transformations followed by the application of an estimator. We built several pipelines each with different estimator (e.g. Gradient Boosting Regressor Linear Regression etc.) For Gradient Boosting Machine our pipeline included:After we completed feature engineering we had over 200 features and about 1500 rows in our training set. We decided to keep 150 principal components after examining cumulative percentage of variance chart. 150 components accounted for over 85% of variance of our data. Variance measures how spread out the dataset is. Not all tweaks improve results. After we implemented PCA our cross validation scores did not improve. In fact our scores deteriorated (cross validation score declined to 0.87 from 0.91 for baseline model). We believe that reducing dimensions caused loss of some important information. PCA not only removed random noise in our data but also some valuable inputs. For Multivariate Linear Regression our pipeline included:Using PCA with Multivariate Linear Regression did not produce good results as well. Our cross validation score decreased as compared to a baseline model (training Multivariate Linear Regression using the entire set of features).  Using single isolated models gives us a decent result. But usually all real life problems do not have a direct linear or nonlinear relationship with the target variable that can be captured alone by a single model. An ensemble of conservative and aggressive linear and nonlinear models best describes the housing price prediction problem. To begin with we tried a simple ensemble model of XGBoost (nonlinear) and ENet (linear) with a 5050 weightage. Next following the standard stacking approach we stacked different models to see if we could do better. Our stacked model consisted of the linear ENet model a conservative random forest of short depth a fullygrown aggressive random forest a conservative gradient boosting of short depth and finally a fullygrown aggressive gradient boosting model. The performance has been recorded below:The below correlation heatmap shows our predicted sale prices for some of the models used. We can see that Elastic Net Lasso and Ridge were very similar in nature whilst Ensembling and Stacking was also very similar. The one standalone model with distinctly different results was the XGBoost one.,NA, Usually it makes sense to delete features that are highly correlated. In our analysis we found out that It sometimes makes sense to engineer new features that can help increase the model’s performance. We created the following two new features:XG Boost model was our best performing model while multivariate linear regression was our worst performing model. The results were similar among Ridge Lasso and Elastic Net models.,NA
Spilling the Beans on Trade Coffee,1,https://nycdatascience.com/blog/student-works/spilling-the-beans-on-trade-coffee/, curated collection of seasonal freshly roastedtoorder coffees. I was curious what this new homedelivery service had to offer me and thought perhaps I could further investigate.470 products down to 452.An NLP analysis on the product descriptions and flavor profiles gave a picture on what products one might find on Trade Coffee. the NLTK package was used to process the words from all the product descriptions and flavor profiles. In order to get an informative word cloud I added words such as 'coffee' 'flavor' 'taste' 'varietal' into the dictionary of stop words that remove redundant and noninformative words from the description content.,NA,The National Coffee Association National Coffee Drinking Trends (NCDT) report is the coffee industry’s leading survey of US coffee consumer behavior and attitudes. According to the NCDT more Americans are drinking a daily cup of coffee than they have been for the past six year. Up 2 percent from last year 64 % Americans are drinking their daily cup of coffee. Since 2001 the NCA began tracking US consumption of specialty coffee which is defined by the NCA as “coffee drunk hot or iced that is brewed from premium whole bean or ground varieties. This includes espresso based beverages iced/frozen blended coffee cold brew and iced coffee infused with nitrogen.”There clearly has been a consistent growth in the specialty coffee market.The US specialty coffee consumer drinks an average of 2.97 cups off coffee per day. The US market share of specialty coffee has grown significantly over the last 7 years from 40% in 2010 to 59% at present.Americans consume the most coffee in the world and spend an average of $3.16 for a cup of coffee. The average American spends $1110 on coffee annually. When taking into account the price one has to pay for a cup of specialty coffee the number is even bigger. For instance one can find America's most expensive cup of coffee in Brooklyn NY which goes for $18 a cup.As a coffee consumer myself I am always on the lookout on ways that I can save money and yet still enjoy a great cup of single origin coffee without breaking the bank.As an alternative to buying from specialty coffee shops home brewing has allowed me to save hundreds of dollars and indulge in some of the best cups coffee I have put my hands on. As I was searching for my next cup of coffee I came across Trade Coffee  a website that allows consumers to purchase direct from different roasters across the country and get them freshly roasted on their doorstep.The Trade Coffee website boasted aAs I began my inquiry these were some of the questions I had in mind:The web scraped that I needed to build had to scrape the main product Trade Coffee page and the individual product pages. I initially built a Scrapy spider to parse through the web site but ran into some issues such as missing data hidden elements. As a result I transitioned to Selenium to scrape the elements on the pages that I was interested in (product name roaster description price weight etc.). Some of the more detailed product information had to be put under one 'basket' as these elements did not have unique Xpaths.Data cleaning was an important step in making the data easy to work with and manageable. Duplicate entries were removed. Empty strings were removed or filled with a marker if it was necessary in the analyses downstream. Price and weight data entries were converted into numeric vectors. Unnecessary punctuation and other artifacts were removed.  This narrowed down the number of products to be analyzed : Trade Coffee offers beans in different package volumes and it was necessary to convert these into similar units. In order to normalize price data I decided to use the price per cup data as a measure that can be compared across all products. Following my own brew recipe: I set 20g as the amount of coffee beans used per 300mL of coffee. I used this to calculate the number of cups I could get from a single bag of coffee. Most products on Trade Coffee yields 17 cups of coffee.Trade Coffee partners with 51 roasters from 39 cities offering 14 profiles of Coffee which can be either one of 261 Single Origins or 209 Blends. Offering the consumer a great variety of options to choose from. The average price per bag is $18.92 and price per cup is $1.05Diving deep into the data I wanted to look at patterns and relationships specifically if there was a significant price different between Single Origins and Blends. As I expected Single Origin coffees were priced higher on average than the Blends. The same trend follows when price per cup data is looked at. There were several single origin coffees that were far from the median and mean price per cup of coffee. The highest price per cup of coffee was at $6.00 a cup or $85.00 per bag . The average for a single origin coffee is $1.16 per cup and $17.40 per bag. The average for a blend coffee is $0.92 per cup or $ 15.49 per bag. These numbers show that it is much cheaper to brew a cup of specialty coffee at home than going into a coffee shop.Trade coffee offers 14 different profiles of coffee. Below is a look into the breakdown of their products into these categories.Below are word clouds of the flavors describing the different product on Trade Coffee. One is using the short and more simple flavor notes and the second was created with the more descriptive and verbose roaster notes and descriptors.Trade Coffee has a wide variety of coffees for a all types of home brewers. Consumers have the option to purchase budget budget friendly coffees as well as special limited and seasonal lots and roasts. The findings of this venture reaffirms that homebrewing is a costeffective way of enjoying specialty coffee in the comforts of one's home without making a big dent on the wallet.It is important to note that Trade Coffee regularly changes their inventory depending on the roster of roasters on the site and most especially the seasonality and availability of certain coffees throughout the year. It would be interesting to see trends in their product offerings as well as how often these inventory changes occur.I would like to take a closer look into the specific details of products such as varietal origin subregion in addition to the price points and shipping costs.,NA
Variation in Hospital Charges and Medicare Payments for Inpatient Procedures in the United States,1,https://nycdatascience.com/blog/student-works/variation-in-hospital-charges-and-medicare-payments-for-inpatient-procedures-in-the-united-states/,U.S. healthcare costs have been on the rise over the past several years outpacing the growth of the economy overall. The Centers for Medicare and Medicaid Services (CMS) estimates that American healthcare spending increased by 4.6% in 2017 to reach $3.5 trillion. The increases in medical care are  driven by the Medicaid expansion the private insurance market as well as the aging population. Consequently h,NA,ealthcare spending is projected to continue to grow at an even faster pace over the next decade. According to a  report prepared by the CMS healthcare spending in the U.S. is projected to grow on average by 5.5% per year from 2017 through 2026 to reach $5.7 trillion by 2026. Healthcare spending is projected to reach 19.7% of GDP by 2026 up from 17.9% in 2016.In the current state of continued uncertainty around the future of the Affordable Care Act and healthcare reform financing policymakers are becoming more interested in the role of prices in driving healthcare spending.Hospitals are usually billing for more than what they expect to receive for services provided. Actual payments differ from billed charges because Medicare and Medicaid set reimbursement rates that they will pay for procedures while commercial payers negotiate rates with hospitals.Historically prices paid by private health insurers have remained highly confidential in the country.In 2013 in an effort to increase price transparency the CMS began providing Medicare claims and payment data for most common inpatient diagnoses at over 3300 hospitals. Each year the data has continued to show dramatically different prices for the same procedures at different hospitals. We have analyzed the CMS data for fiscal year 2015 to measure inpatient charge and payment variability. Our analysis has shown that wide variations in hospital charges and payments for the same services persist.The dataset is owned by the CMS and is part of the inpatient utilization and payment public use file. The dataset provides information on utilization payment (total payment and Medicare payment) and hospitalspecific charges for over 3000 U.S. hospitals that receive Medicare Inpatient Prospective Payment System (IPPS) payments. The dataset includes about 201k rows and 12 columns. The data is organized by hospital and Medicare Severity Diagnosis Related Group (MSDRG).“Average Charges” refers to what the provider bills to Medicare.“Average Total Payments” refers to what Medicare actually pays to the provider as well as copayment and deductible amounts that the beneficiary is responsible for.The Medicare data app is an interactive dashboard that visualizes hospital charge and payment variability across the U.S.Average hospital charges and payments differ across the U.S. with many procedures costing more in some states than others. We have ranked states by average Medicare payments average total payments as well as by average covered charges. States with the highest hospital charges are California New Jersey Pennsylvania Colorado Nevada Florida and Alaska while states with the highest average Medicare payments are Maryland California Alaska New York Washington Massachusetts and Hawaii.Our analysis has shown that among the most common Medicare hospital discharge diagnoses in 2015 were septicemia major joint replacement heart failure and shock kidney & urinary tract infections as well as simple pneumonia & pleurisy.Among the most expensive Medicare inpatient discharge diagnoses in 2015 were heart transplant or implant of heart assist system ECMO liver transplant allogeneic bone marrow transplant extensive burns or full thickness burns as well as lung transplant.Our analysis of the CMS data has shown that wide variations in hospital charges and Medicare payments for the same services persist. For instance average Medicare payments for heart transplant or implant of heart assist system ranged from about $240k to about $430k in California and from about $120k to $180k in Florida.Major joint replacement surgery is another example of variation in hospital charges. Average Medicare payments for major joint replacement or reattachment of lower extremity surgery ranged from about $15k to about $48k in California and from about $12k to $26k in Texas.In 2015 on average hospitals charged 5.2 times what Medicare reimbursed them for the same procedure (standard deviation was 2.75) with a range of 0.09 to 42.For example the median charge to reimbursement ratio for heart transplant or implant of heart assist system surgery was about 4.4x with a range of about 3.3x to 7.5x in California. For the same procedure the median charge to reimbursement ratio in New York was approximately 3.5x with a range of about 2.5x to about 3.6x.The difference between charges and reimbursement rates remains largely unexplained. It would be interesting to conduct further research to identify hospital characteristics associated with higher charged rates compared to actual Medicare reimbursed rates.It looks like there is a strong positive correlation between what hospitals charge and what they are paid by Medicare. According to our analysis correlation between average covered charges and average Medicare payments is 0.83.Email:,NA
Will the NBA Player's salary contribute to the team’s Win?,1,https://nycdatascience.com/blog/student-works/will-the-nba-players-salary-contribute-to-the-teams-win/,"Which team will win the championship this season? Who will win the MVP?   Many sports stars surprise people with huge amounts of contracts.
However So are their salaries contributing to the team's victory?
My topic is to learn about the relationship between NBA games (WL) and salary using Web Scrap.  
Modern basketball is evolving right now.  Because of the unique nature of basketball we can not simply say that the salary contributes to the team win.  There are also many invisible indicators such as mental and leadership for victory. It is difficult to relate salary and victory but I think it is also fun to watch sports.",NA," Ok. Let's check Team Record
The bar graph represents a team win. Houston on the left means the highest win  Phoenix the lowest winner.
The red dotted line means Salary Cap.As you can see the high salary of the team doesn't lead to the highest victory.
GSW / CLE / OKC etc. invested heavily in the championship and relatively higher HOU / TOR than their investment. IND had a high multiplier with low salary. This is also a remarkable point.This page is Scatter Plot.
The xaxis indicates the team wins and the yaxis indicates a player's Salary
This graph shows the salary distribution of the overall team players. A relatively lowefficiency player that can't contribute to a team win is also noticeable. But I also know that basketball is a team sport so I can not claim victory only for those players.The key player with a high playing time is a lot of money. On the other hand a lot of money players are forced to play a lot. Therefore A player who receives a lot of money has a lot to do with team wins.Let's look at the correlation between team win and salary very simply.
W means the number of wins when the player participated in the game. If you look at the relationship you can't confirm that the player with the highest salary contributes to the team victory.So how can you confirm that you have contributed to the team win?
There are a lot of Stats in Basketball and it's hard to check them one at a time.
In a similar concept the indicator WAR is officially used in baseball but the index I use today is Win share.
WS is an indicator of how much it has contributed to the team's victory with various stats entering the element and the formula on the right is one of them. We add the attack index and the defense index to derive a comprehensive win share.So let's take a look at WS Top 10 for the season.
First place is James Harden of Houston and as you can see by numbers and salary he is the NBA superstar.
In addition He was MVP last Season. It is the players that contributed a lot to the team victory as there are a lot of salaried people. And the high salaried people are ranked in the highest rank.Let's look at the relationship between Win Share and Salary.
As you can see the salary and WS trends are the same but there is often a Low Efficiency Player.
On the other hand with a small salary you can look for players who contribute significantly to your team.Let's look at the graph. Yokochi shows a remarkable contribution to the team even with a small salary even if you look at the graph. And one person who stands out is Spencer Dinwiddie. In fact he is not known but he is a player with enough talent to be a skill champion in NBA AllStar.
As you can see from the record impressive players were selected.Let's enjoy the NBA 1819!Thanks",NA
Forecasting Cryptocurrency Price Trends,2,https://nycdatascience.com/blog/student-works/forecasting-cryptocurrencies-price-trends/,"A cryptocurrency's price is mainly influenced by security problems of the blockchain technology new policies of governments (for regulation or boosting) and public opinion from news and forums. The plot below describes that the price trends of Bitcoin (the first cryptocurrency and the one with largest market capitalization) and the frequencies of key words from news. You can see the period from late 2017 to early 2018 when the price of Bitcoin steeply went up and suddenly collapsed.  The cryptocurrencies are increasingly adopted as a means of payment in real life. Thus each government has been considering various regulations in different ways.  In case of US government was basically in the position to regulate cryptocurrencies within the framework of existing financial regulations. As several large asset managers consider investments in the cryptocurrency market the government is trying to tighten regulations for financial supervision. In case of Japan cryptocurrency transactions and exchanges were prevalent during early days of cryptocurrency. So the government has created policies and refined them since 2014. Similarly Singapore government also has refined policies about cryptocurrency. The government defined the cryptocurrency as “Good purchased product for purchasing goods”. And they created specific tax policy imposing on transactions of cryptocurrencies since 2014. On the other hand China and South Korea have considered several regulations such as prohibition of exchange of cryptocurrency and some of the regulations have been implemented. Of course the complete prohibition was impossible.
Currently the market capitalization of cryptocurrency is 199 billion dollars. (for comparison the 2017 US Defense Budget was 590 billion dollars)
 The cryptocurrency has not only negative side but also has positive side. On the positive side it can be an alternative to the existing financial system. In case of XRP (as known as Ripple) They entered remittance business by taking advantage of the fact that there is no commission fee for oversea transactions. On the negative side the cryptocurrency still has security problems. One of the largest exchange Bithumb was hacked and 31 million dollars were stolen. Bithumb is an exchange ranked 6 in the world.Then the centers (mean) of each of the 3 clusters were computed and their relative distances were evaluated by cosine function: 1 cos(𝞱) taking values in [0 2]. Here we can see from the heated map that each of the 3 clusters is perfectly collinear with itself (distance  0) cluster 1 and 2 are mostly anticollinear (antiproportional) while cluster 0 is mixed. Then we labeled 3 clusters as D (down) M (mixed) and U (up) based on the corresponding position of the cluster center then computed the possibilities of D/M/U of the next day based on today’s label. We can conclude that for each case the prediction of M is always the majority case.Then we continue to use PCA to visualize the division of the 3 clusters as shown above including the compositions (weights) of the first and second principle components (PC) of each of the 8 features (cryptocurrencies). The scatter plot shows how the ~3000 points (days) in colors are determined by the 1st and 2nd PC. The boundary is not parallel to either axes indicating both PC’s are import.We considered two different architectures for the LSTM network. The first one considered the entire Bitcoin price history as a long chain: the LSTM network would remember all the intermediate states. The second one only considered rolling windows of a fixed size: the LSTM network would start over with clean states for each window. The graphic representations of the architectures could be found below:For interested readers our codes and notebooks could be found .",NA,"From Those features show some interesting trends comparing with Dow 30 which shows more distinct market movement clusters based on the different industry background while cryptocurrencies are mostly lead by BTC. And if we look closer to their background XRP price is mainly used for remittance and BCN is based on anonymous exchange. The differences among price movements among cryptocurrencies are related to their origins too.The details of both PC’s are shown in bar plots. In both cases BCN has the largest weight while other features are in similar scale with either same or opposite sign. It is consistent with previous hierarchical results that BCN has distinct market movement from most of the rest and ends up with a special indicator. However the leading factor BTC only shows as the least weighted features in both of the PC’s. It is probably because of the fact that BTC has much longer history than the others do. Therefore has less daily log return fluctuation than those that were just created for the time period selected for the analysis.We chose Bitcoin price to do time series analysis because it has longest history and is the ""bellwether"" of cryptocurrency market. We firstly applied classical (linear) time serise model which requires stationary time serise with constant statistical properties (mean variance etc...) to make better predictions. Therefore we transformed the original data into log and log difference to examine the stationary property by the pvalue of the DickeyFuller test. The figure below shows the results for Bitcoin price in monthly average.The hidden periodicity inside the original and transformed data were decomposed by STL (Seasonal and Trend decomposition using Loess method). The third row shows that there is strong yearly trend inside the Bitcoin price movements. The original data shows highest Dickey Fuller's test. However further transformations did not continue to reduce the pvalue under 0.05 to reject the null hypothesis. Therefore we let the integrate part in ARIMA (autoregressive integrated moving average) model to do the differencing & integrating for us on the logtransformed data.We also examined the ACF and PACF to see how many days' lag would impact current Bitcoin price. The ACF plot in the left below shows that there is still strong correlation between current price and the one about 30 months ago and that there are some periodic pattern among those days that have negative correlations. Since longterm effect can hide and incorporated into recent correlations the PACF in the right reveals the true correlation: There are suprisingly huge correlation between current price and those several years ago. To include the yearly trend and the longterm influence of the time series we incorporated the ""seasonal"" factor into our ARIMA model known as ""SARIMAX"". Therefore besides the fundamental () for the ARIMA part there is also a set of ( 12) for the seasonal part (here ""12"" corresponds to the yearly trend shown in the STL plot since the data used here are monthly average). After grid search we found the optimized parameter of our SARIMAX model: (1 1 2) × (0 1 1 12). The four plots below analyze the residual after applying the chosen parameters. There is no long or shortterm trend remaining in the ACF. However the histogram plot (upper right) shows that the residual is not perfectly normally distributed: it has a long right tail. The plot below shows the comparison between the real and predicted Bitcoin price. The log prices in the middle panel is predicted by the SARIMA model the upper one is the prices transformed back by exponential and the bottom one is log return the signs of which indicate the increase/decrease of the price. The blue shadows indicates the 95% probability band which literally says that any price is possible for the actual price in the upper panel in the next few months. However besides the absolute price values we are also interested in how the model predicts the price increase/decrease. The overall accuracy of the predicted signs of the monthly return is 0.58 with more details included in the table.The main shortage in (S)ARIMA model is that its predictions are only based on the price of a certain cryptocurrency itself. However in reality there are many outside factors that can have huge impacts on the Bitcoin price such as stock indices market volatility and metal prices. The news media explosure and people's reaction can also influence/reflect in the cryptocurrency prices. VARMAX model can incorporate different outside factors to improve the predictions. Meanwhile since Bitcoin is the leading factor among most of the other cryptocurrencies using Bitcoin itself as an inner factor to help predicting the prices of other cryptocurrencies may also be a useful method.
We applied the VARMAX model to predict Litecoin (LTC) and Bytecoin (BCN) prices with & without using Bitcoin (BTC) as inner factor. The outside factors we use are: BTC volume S&P 500 Nikkei 225 Stoxx Europe 600 DXSQ VIX Volatility Index and the prices of gold and silver. Since VARMAX model does not include the integrate part we directly used weekly log return as the time series data.The comparison between the real and predicted weekly log return values for both LTC and BCN are shown in the plots. The overall accuracy of the predicted signs of weekly log return are shown in the left table. Despite the fact that LTC has very similar market movement while BCN doesn't both of their prediction accuracy are improved after using BTC as an inner factor. However the improvement is marginal. One possible reason is that we took log return for all the vectors. But for metal prices which do not have significant fluctuations they may not need log transformations. Therefore both of our VARMAX model and inputs need further careful optimizations.Finally we tried to use recurrent neural network long shortterm memory (LSTM) network specifically to model the price movement of Bitcoin. We made use of both numerical data (Bitcoin price volume international stock index prices commodity prices interest rates and CDS volatility index) and text data (news articles scraped from  and ). For the numerical data we took log return to make the scales uniform. For the text data we used a pretrained module to embed the sentences into 128 dimensional vectors. Then we trained a neural network using the sentence vectors to predict price movement and we extracted the last hidden layer (a 16 dimensional vector) and add it to the numerical data to form the input of the LSTM network.
However our models did not provide meaningful predictions on test set : the models tended to fit the training set very well and failed to generalize to unseen data.",NA
Machine Learning Project: Ames Housing Dataset,3,https://nycdatascience.com/blog/student-works/machine-learning/machine-learning-project-ames-housing-dataset/,The Ames Housing Dataset was introduced by Professor Dean De Cock in 2011 as an alternative to the Boston Housing Dataset (Harrison and Rubinfeld 1978). It contains 2919 observations of housing sales in Ames Iowa between 2006 and 2010. There are 23 nominal 23 ordinal 14 discrete and 20 continuous features describing each house’s size quality area age and other miscellaneous attributes. For this project our objective was to apply machine learning techniques to predict the sale price of houses based on their features.In order to get a better understanding of what we were working with we started off with some exploratory data analysis. We quickly found that overall material and quality (OverallQual discrete) and above ground square footage (GrLivArea continuous) had the strongest relationship with sale price. Using a widget (shown below) we then examined the remaining features to get a sense of which were significant and how we would be able to feed them into linear and treebased machine learning algorithms. 53 of the original features were kept in some fashion.  For categorical features the majority were handled using onehot encoding with minority classes below a certain number of observations being excluded. Certain discrete features were changed to binaries if we found their presence to be more impactful than their frequency (eg. Number of fireplaces → Is there a fireplace?). Given the range of some of the continuous features in the data we found it useful to apply log transformations where appropriate like each house’s lot size (LotArea). Lastly there were some special cases like the selfexplanatory YearBuilt feature (figure below).  We determined there to be no meaningful relationship with sale price for values prior to 1950 so we made that the minimum value. After this initial round of preprocessing and deciding to remove two outliers (with square footage >4000sqft. and sale price <$200k) we were well on our way to making our first set of models!This problem lends itself well to linear regression. In fact we can draw a simple regression line between above grade square feet and sale price that explains 54% of variance in sale price! This model produces a crossvalidation error of 0.273 in terms of Root Mean Squared Logarithmic Error (RMSLE).As a quick side note we choose to use RMSLE for model evaluation in order to match the scoring metric of the Kaggle competition. RMSLE ‘standardizes’ prediction errors between cheap and expensive houses so that we are not incentivized to build a model that predicts better (on a percentage basis) for expensive homes than cheaper homes. Practically it also makes our crossvalidation results a more accurate indicator for Kaggle scores.While we can obviously do better than a onevariable model the simplistic case highlights an issue that we will need to account for in linear regression. Inspecting the residual plot we can see a classic case of ‘fanning’ residuals. This violates one of the key assumptions of linear models  that the error term be identically distributed.The underlying issue is nonnormal distributions of both sale price and above grade square feet.Applying the boxcox transformation to both variables results in much more normal distributions and a regression on the transformed variables produces a much betterbehaved error plot. Surprisingly this improvement is not associated with a reduction of model error in the case of simple linear regression. However box cox transformation does result in a massive reduction in error when employed for multiple linear regression models.Of course we can start to improve our linear predictions by incorporating the influence of additional explanatory variables. There are strong (and obvious) relationships between some of the explanatory variables such as above grade square feet and above grade rooms and lot area and lot frontage. Regularization techniques will be critical for controlling for this multicollinearity.Indeed elasticnet regularization reduces crossvalidation RMSLE from 0.251 to 0.118. Elastic net ridge and lasso all performed equally well in crossvalidation.The variable coefficients from elastic net confirmed our insights from exploratory data analysis. House size and quality seem to be the most important variables for determining sale price.Going beyond linear regression we next tried fitting our data to treebased models. The simple decision tree below with a maximum depth of 3 gives an idea of the features on which our models could split and the breakdown of how our data might be divided:We initially feed our data to a straightforward decision tree regressor from the ScikitLearn Python package. The feature importance plot is shown below:While these last two are almost trivial examples they help us get a sense of the features that might be important for this class of models as well as visualize the importance of the hyperparameters we can tune for our treebased learners. So far we see that the features we hypothesized to be important from our exploratory data analysis and feature engineering are in fact significant. We do not spend much time on the untuned decision tree model even though it resulted in a 0.141 RMSLE training score and a crossvalidation RMSLE score of 0.181; these scores are better than we expected and they most likely are the result of our extensive feature engineering. Nevertheless we move on to a random forest model where we can tune hyperparameters for the number of trees the maximum tree depth the maximum number of features considered at a split the minimum number of samples required to make a split and the minimum number of samples required at a node. The feature importance plot for our random forest is shown below:The tuned random forest resulted in a training RMSLE of 0.122 and a crossvalidation RMSLE of 0.131. This score is much better than the single decision tree in large part because a random forest reduces the variance (overfitting) one sees when working with only one tree. However there is a higher bias with a random forest than with a decision tree. This is because only part of the training data is used to train the model (bootstrapping) so naturally higher bias occurs in each tree. Additionally the random forest algorithm limits the number of features on which the data can be split at each node which in turn means the number of variables with which the data can be explained is limited inducing higher bias. In an attempt to lower the bias we next look to a gradient boosted treebased model; the plots below show the difference between the tuned and untuned feature importance for this model.Even with the untuned model the crossvalidation RMSLE is 0.116 (training RMSLE 0.037) which is already better than the random forest. This is because the bias of the model is reduced because of boosting features. This model tries to reduce the error in predictions by for example focusing on poor predictions and trying to model them better in the next iteration and hence it reduces bias (underfitting). One can see the importance of tuning hyperparameters though when looking at the important features from the untuned model. There are some potentially collinear features such as LotArea vs. LotFrontage and GarageYrBuilt vs. YearBuilt that show up while some features shown to be important in our previous models such as OverallQual and OverallCond are absent. Yet by sequentially tuning the number of trees the max depth the min samples for a split the min samples for a leaf and then increasing the number of trees while simultaneously decreasing the learning rate we see less “redundant” features and more relevant features (OverallCond OverallQual Functional) with high importance for our model. The tuned model is the best individual model we trained with a training RMSLE of 0.082 and a crossvalidation RMSLE of 0.112. Another visualization of the difference between the tuned and untuned models is shown below.,NA, Despite being pleased with the performance of our standalone models we thought it would interesting to use this opportunity to explore some ensembling methods with the hope being that by combining several strong standalone models we could produce a metamodel that is a better overall predictor.Up to this point our highest performing models as judged by the Kaggle Public Leaderboard (PL) were an ElasticNet regression model (PL RMSLE 0.121) a tuned gradient boosting machine (PL RMSLE 0.122) and a tuned random forest model (PL RMSLE 0.145).  Our initial approach was to average the predictions from each of our three top models and attribute equal weight to each prediction.  Interestingly our score did not improve.  However we did see an improvement once we dropped the weakest link (random forest) and attributed equal weight to the ElasticNet and the gradient boosting machine.  This resulted in our strongest model up to this point (PL RMSLE 0.118).  We attribute this increase in performance to the increased diversity of our ensemble that results from dropping the 2nd treebased model.In our final model we decided we would explore stacking.  We opted to include each of our three top standalone models (ElasticNet Gradient Boosting Machine and Random Forest) as base learners and opted for a linear regression as our metamodel.As judged by the Public Leaderboard this resulted in our top model!  The RMSLE was 0.117 which as of the time of this publication was in the top 15% of submissions.Our largest takeaway from working with the Ames Housing Dataset was the value in careful thoughtful feature engineering.  We attribute the strong performance of our model to the time we put into this phase.  If we were to continue working with this dataset we would explore both the applicability and effectiveness of principal component analysis and multiple correspondence analysis in reducing dimensionality.  It would be interesting as well to explore the effectiveness of different strategic tuning parameters in our stacked models.,NA
